node_id,node_label,node_type,first_year,last_year,article_count,subject_count,subject_l1,author_count
A_1,"Edkins, J.",author,1858,1904,14,13.0,,
A_2,"Wylie, A.",author,1858,1868,6,4.0,,
A_3,"Macgowan, D. J.",author,1858,1886,10,10.0,,
A_4,"Nicolson, F. W.",author,1858,1858,1,1.0,,
A_5,"Foote, A. H.",author,1858,1858,1,1.0,,
A_6,"Shadwell, C. F. A.",author,1859,1860,2,1.0,,
A_7,"Syle, E. W.",author,1859,1859,1,1.0,,
A_8,"Ward, J.",author,1859,1859,1,1.0,,
A_9,"Pompe van Meedervoort, J. L. C.",author,1859,1860,2,2.0,,
A_10,"Fedorovitch, J.",author,1859,1859,1,1.0,,
A_11,"Williams, S. W.",author,1859,1874,5,3.0,,
A_12,"Swinhoe, R.",author,1859,1872,6,6.0,,
A_13,"Robertson, D. B.",author,1859,1859,1,3.0,,
A_14,"Bridgman, E. C.",author,1859,1859,1,2.0,,
A_15,"John, G.",author,1860,1860,1,1.0,,
A_16,"Shock, W. H.",author,1860,1860,1,1.0,,
A_17,Editorial Committee,author,1860,1874,5,2.0,,
A_18,"Courtney, C. F. A.",author,1860,1860,1,1.0,,
A_19,"Lindau, R.",author,1864,1864,1,1.0,,
A_20,"Henderson, J.",author,1864,1864,2,2.0,,
A_21,"Dickson, W.",author,1864,1864,1,1.0,,
A_22,"Canny, J. M.",author,1864,1864,1,1.0,,
A_23,"Jamieson, R. A.",author,1864,1864,3,4.0,,
A_24,Edwards,author,1864,1864,1,1.0,,
A_25,"Wilds, E.",author,1864,1864,1,1.0,,
A_26,Hollingworth and Piry,author,1864,1864,1,1.0,,
A_27,"Gamble, W.",author,1864,1864,1,1.0,,
A_28,Lamprey,author,1864,1865,2,2.0,,
A_29,"Kingsmill, T. W.",author,1865,1910,23,15.0,,
A_30,"Brown, S. R.",author,1865,1865,1,1.0,,
A_31,"Collins, V. D.",author,1865,1865,1,1.0,,
A_32,Bastion,author,1865,1865,1,1.0,,
A_33,"Jarvie, R.",author,1864,1864,1,3.0,,
A_34,"Butcher, C. H.",author,1864,1866,2,2.0,,
A_35,"Stronach, W. T.",author,1864,1864,1,1.0,,
A_36,"Martin, W. A. P.",author,1864,1906,4,3.0,,
A_37,"Williamson, A.",author,1866,1867,3,6.0,,
A_38,"Keer, J. G.",author,1866,1866,1,2.0,,
A_39,"McCartee, D. B.",author,1866,1870,2,2.0,,
A_40,"Hollingworth, H. G.",author,1866,1866,1,1.0,,
A_41,"Bickmore, A. S.",author,1867,1868,2,2.0,,
A_42,"Gardener, C. T.",author,1867,1893,3,5.0,,
A_43,"Pryer, W. B.",author,1867,1867,1,1.0,,
A_44,"Ellias, N.",author,1867,1868,2,1.0,,
A_45,"Mayers, W. F.",author,1867,1878,5,5.0,,
A_46,"Forrest, R. J.",author,1867,1867,1,3.0,,
A_47,"Simon, G. E.",author,1867,1870,4,6.0,,
A_48,"Watters, T.",author,1867,1875,4,4.0,,
A_49,The Hankow Times,author,1867,1867,1,1.0,,
A_50,"Jenkins, B.",author,1868,1868,1,1.0,,
A_51,"Preston, C. F.",author,1868,1868,1,1.0,,
A_52,"Medhurst, W. H.",author,1868,1868,1,1.0,,
A_53,"Markham, J.",author,1869,1870,1,1.0,,
A_54,"Eitel, E. J.",author,1869,1870,1,3.0,,
A_55,"Himly, K.",author,1869,1870,1,1.0,,
A_56,"Moule, G. E.",author,1869,1901,6,7.0,,
A_57,"Smith, F. P.",author,1869,1870,1,4.0,,
A_58,North China Daily News,author,1869,1870,1,1.0,,
A_59,"Stent, G. C.",author,1871,1877,3,4.0,,
A_60,"Thompson, J.",author,1871,1872,1,1.0,,
A_61,"David, Le P. A.",author,1871,1872,1,3.0,,
A_62,Meteorological Committee,author,1871,1872,1,1.0,,
A_63,Shanghai Meteorological Committee,author,1873,1873,1,1.0,,
A_64,"Schmidt, C.",author,1874,1874,1,1.0,,
A_65,"Viguier, S. A.",author,1874,1874,1,1.0,,
A_66,"Dennys, N. B.",author,1874,1874,1,1.0,,
A_67,"Bushell, S. W.",author,1874,1901,5,5.0,,
A_68,"Camajee, D. N.",author,1875,1875,1,1.0,,
A_69,"Taintor, E. C.",author,1875,1875,1,2.0,,
A_70,"Cordier, H.",author,1875,1875,1,1.0,,
A_71,"Palladius, A.",author,1876,1876,1,1.0,,
A_72,"Holcombe, C.",author,1876,1876,1,1.0,,
A_73,"Bretschneider, E.",author,1876,1895,4,7.0,,
A_74,"Little, A. J.",author,1876,1883,2,2.0,,
A_75,"Hobson, H. E.",author,1877,1888,2,3.0,,
A_76,"Mollendorf, P. G. von",author,1877,1897,5,4.0,,
A_77,"Parker, E. H.",author,1878,1913,16,11.0,,
A_78,"Hosie, A.",author,1878,1926,4,6.0,,
A_79,"Fritsche, H.",author,1878,1878,1,1.0,,
A_80,"Fauvel, A. A.",author,1879,1879,1,1.0,,
A_81,"Schulze, F. W.",author,1879,1879,1,1.0,,
A_82,"Rhein, J.",author,1879,1879,1,1.0,,
A_83,"Haas, J.",author,1879,1879,1,1.0,,
A_84,"Balfour, F. H.",author,1880,1880,1,1.0,,
A_85,"Guppy, H. B.",author,1881,1883,5,5.0,,
A_86,"Dechevrens, Le P. M.",author,1881,1881,1,1.0,,
A_87,"Giles, H. A.",author,1882,1886,3,1.0,,
A_88,"Anderson, G. C.",author,1882,1882,1,1.0,,
A_89,"Toda, E.",author,1882,1882,1,1.0,,
A_90,"Hirth, F.",author,1882,1887,8,11.0,,
A_91,"Scherzer, F., trans. Gould, C.",author,1883,1883,1,1.0,,
A_92,"Kleinwachter, G.",author,1883,1883,1,1.0,,
A_93,"Imbault-Huart, C.",author,1883,1896,4,4.0,,
A_94,"Morrison, G. J.",author,1883,1883,1,1.0,,
A_95,"H., F.",author,1885,1886,2,1.0,,
A_96,"Playfair, G. M. H.",author,1885,1886,2,2.0,,
A_97,T. C. B.,author,1885,1885,1,1.0,,
A_98,"Nocentini, L.",author,1885,1887,2,2.0,,
A_99,"Phillips, G.",author,1885,1888,3,4.0,,
A_100,"Gabelentz, G. von der",author,1885,1885,1,1.0,,
A_101,"Macintyre, J.",author,1886,1886,1,1.0,,
A_102,"Allen, H. J.",author,1886,1886,3,2.0,,
A_103,"Legge, J.",author,1886,1886,1,1.0,,
A_104,"Carles, W. R.",author,1886,1897,4,7.0,,
A_105,"Becher, H. M.",author,1887,1887,1,1.0,,
A_106,"Henry, A.",author,1887,1887,1,1.0,,
A_107,"Jamieson, G.",author,1888,1888,1,4.0,,
A_108,Moore,author,1888,1888,1,1.0,,
A_109,"Volpicelli, Z. H.",author,1888,1893,3,2.0,,
A_110,"Morse, H. B.",author,1889,1921,3,3.0,,
A_111,"Faber, E.",author,1889,1907,3,6.0,,
A_112,"Fries, S. R. von",author,1889,1890,1,1.0,,
A_113,"Hallifax, T. E.",author,1889,1890,1,1.0,,
A_114,"Fraser, E. H.",author,1891,1892,1,2.0,,
A_115,"Groot, J. J. M. de",author,1891,1892,1,1.0,,
